GO	description	category	D1_S02_1L-s_R03	D1_S02_2.5L-s_R01.1	D1_S02_2.5L-s_R01.3	D1_S02_10L-s_R02	D1_S02_10L-m_R01	D1_S02_10L-m_R02	D1_S20_30L-m_R123	D1_S023_10L-m_R01	D1_S023_10L-m_R02	D1_S320_10L-m_R01	D1_S320_10L-m_R02	D1_S320_10L-m_R03	D1_S20_120L-m_R01	D1_S20_100L-m_R02	D1_S023_60L-m_R01	D1_S023_100L-m_R02	D1_S023_60L-m_R03	D1_S320_60L-m_R01	D1_S320_100L-m_R02	D1_S320_60L-m_R03	D1_S20_496L-m_R00	D1_S20_100L-m_R02	D1_S20_100L-m_R03	D1_S023_100L-m_R01	D1_S023_100L-m_R03	D1_S320_100L-m_R03	D2_S20_100L-m_R11	D2_S023_1000L-m_R00	D1_S02_1L-s_R01	D1_S02_1L-s_R02	D1_S02_10L-s_R01	D1_S02_2.5L-s_R01.2	D1_S02_2.5L-s_R01.4	D1_S02_10L-s_R03	D1_S02_10L-m_R03	D1_S023_10L-m_R03	D1_S20_60L-m_R03	D1_S20_100L-m_R01	D1_S023_496L-m_R00	D1_S023_100L-m_R02	D1_S320_496L-m_R00	D1_S320_100L-m_R01	D1_S320_100L-m_R02	D2_S20_1000L-m_R00	D2_S023_100L-m_R11	D2_S320_1000L-m_R00	D2_S320_100L-m_R11	D1_S20_776L-m_R00	D1_S023_716L-m_R00	D1_S320_716L-m_R00
GO:0004535	poly(A)-specific ribonuclease activity	molecular function	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	4	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	0	0	3	0	0
GO:0004536	deoxyribonuclease activity	molecular function	88	65	68	78	39	59	0	172	68	12	3	0	16	8	150	181	156	62	33	52	18	0	15	143	159	83	2	109	98	129	117	125	108	105	204	72	3	8	173	217	49	44	35	0	224	45	49	24	226	90
GO:0004540	ribonuclease activity	molecular function	150	131	135	139	77	113	8	312	131	12	8	2	53	29	282	316	284	124	62	86	49	1	38	245	261	152	11	192	177	209	218	225	189	181	315	138	13	28	277	303	78	74	66	12	321	76	88	56	336	164
GO:0004550	nucleoside diphosphate kinase activity	molecular function	183	152	139	162	94	133	13	331	150	21	12	8	92	57	300	309	278	150	79	107	73	8	58	267	297	167	19	244	221	299	254	301	253	236	408	185	24	45	330	392	121	127	91	17	413	90	120	78	451	219
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular function	1221	1032	1052	1099	688	969	134	1881	1057	393	295	82	1038	657	1770	1858	1767	1182	761	884	922	101	815	1617	1723	1425	207	1382	1488	1874	1773	1805	1668	1547	2364	1135	299	568	2078	2262	883	874	723	234	2188	960	1204	901	2610	1802
GO:0004555	alpha,alpha-trehalase activity	molecular function	10	7	7	13	11	10	15	14	15	4	3	1	18	32	19	17	17	10	8	5	36	9	22	12	22	12	14	6	12	24	17	17	16	8	25	16	25	23	20	25	10	11	5	19	21	7	12	34	21	24
GO:0004556	alpha-amylase activity	molecular function	2	2	0	1	2	0	1	4	0	1	0	0	3	0	2	1	0	1	0	1	0	0	2	0	0	0	0	0	2	4	0	0	1	0	6	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1
GO:0004557	alpha-galactosidase activity	molecular function	11	9	11	7	8	8	1	12	10	2	3	2	8	6	13	13	14	11	7	9	7	1	8	11	10	10	2	14	15	14	17	17	21	19	19	14	0	5	17	19	9	8	12	0	23	16	18	5	20	16
GO:0004559	alpha-mannosidase activity	molecular function	23	15	19	11	12	12	25	25	15	13	8	1	69	86	32	24	21	14	20	12	103	18	66	14	20	22	42	17	26	30	32	34	38	34	43	30	71	72	31	35	23	28	22	61	30	29	40	92	46	44
GO:0004560	alpha-L-fucosidase activity	molecular function	63	56	59	65	48	62	6	77	57	21	21	12	51	49	82	78	75	63	38	42	53	8	53	72	70	59	15	64	76	84	79	81	72	74	101	49	15	31	95	80	48	36	39	13	86	52	62	56	99	82
GO:0004563	beta-N-acetylhexosaminidase activity	molecular function	55	39	37	47	27	38	7	83	42	10	8	3	32	22	70	86	73	51	27	32	33	2	23	72	84	47	9	51	56	73	66	74	67	54	95	34	16	22	84	98	27	29	22	14	82	34	45	32	109	75
GO:0004565	beta-galactosidase activity	molecular function	50	42	43	39	31	39	0	79	47	13	10	5	39	19	73	65	64	41	31	45	28	0	29	76	63	55	4	57	67	82	81	79	63	67	90	53	1	16	80	81	50	39	40	3	93	40	49	30	110	65
GO:0004568	chitinase activity	molecular function	3	2	3	2	1	1	8	11	2	0	1	0	7	12	6	7	3	5	2	4	14	5	6	10	4	6	4	5	3	6	4	3	4	3	8	4	18	13	7	7	3	5	3	8	8	2	2	22	8	12
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular function	11	7	4	3	5	6	14	15	3	11	9	1	40	53	14	7	10	2	14	5	59	12	40	1	1	26	28	2	8	11	11	4	7	6	28	17	33	48	3	4	3	6	12	27	5	14	25	55	7	30
GO:0004576	oligosaccharyl transferase activity	molecular function	11	5	14	4	3	4	7	18	4	4	3	1	13	16	18	15	14	7	4	0	9	5	10	11	9	11	5	6	16	13	13	12	11	10	35	9	11	15	11	14	2	3	3	5	10	7	8	14	26	14
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	molecular function	0	0	0	0	0	0	5	0	0	0	0	0	4	12	0	0	1	0	0	0	12	3	5	0	1	0	7	0	0	0	0	0	0	0	0	1	15	11	0	0	0	0	0	9	0	1	2	14	0	0
GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular function	0	0	0	0	0	0	3	0	1	1	1	1	6	8	0	0	1	0	0	0	9	1	6	0	0	2	3	0	1	0	1	0	0	0	0	0	4	10	0	2	2	1	2	5	0	0	1	11	0	3
GO:0004584	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity	molecular function	1	0	1	0	1	0	1	1	0	1	0	0	8	5	3	0	2	3	1	0	10	4	7	0	0	1	6	0	1	2	0	1	2	0	2	0	7	7	0	0	0	1	1	10	1	3	1	8	2	1
GO:0004587	ornithine-oxo-acid transaminase activity	molecular function	18	15	21	19	6	14	0	38	16	4	4	1	7	2	35	43	31	18	5	13	6	0	4	37	34	25	0	25	24	33	27	29	29	28	39	16	0	2	40	32	11	12	6	0	38	15	19	5	44	31
GO:0004588	orotate phosphoribosyltransferase activity	molecular function	123	91	106	113	58	87	1	211	106	16	13	4	34	17	205	206	207	98	59	70	21	0	23	185	208	103	3	162	149	189	173	193	163	166	276	122	2	12	251	266	66	76	59	1	286	61	75	28	309	152
GO:0004590	orotidine-5'-phosphate decarboxylase activity	molecular function	235	166	163	188	117	176	4	416	165	26	17	4	87	27	400	465	403	167	87	125	51	4	67	379	401	209	9	307	329	415	372	399	375	315	575	270	6	31	510	540	150	127	110	9	611	125	159	65	662	303
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	molecular function	67	43	51	48	24	40	0	103	37	3	1	0	13	8	96	118	94	41	23	34	9	0	6	82	92	54	0	70	43	68	51	64	52	55	91	47	0	3	83	80	21	22	21	0	97	23	27	13	93	52
GO:0004592	pantoate-beta-alanine ligase activity	molecular function	197	157	156	168	118	174	4	324	167	29	25	8	99	34	278	317	299	173	102	126	66	6	75	290	328	219	9	260	277	340	309	322	286	272	442	215	4	27	436	448	136	146	120	4	453	126	137	65	498	290
GO:0004594	pantothenate kinase activity	molecular function	174	136	146	149	97	137	4	280	136	22	16	5	76	36	253	262	283	132	81	106	67	7	61	258	295	184	14	228	215	272	261	286	274	243	389	202	19	36	384	408	125	126	95	16	393	93	122	62	464	220
GO:0004595	pantetheine-phosphate adenylyltransferase activity	molecular function	191	142	140	159	93	146	2	308	151	27	14	4	58	20	261	297	286	150	90	112	54	2	51	259	291	166	8	218	240	299	264	306	250	250	409	185	2	21	364	371	120	105	76	2	411	90	134	49	438	214
GO:0004601	peroxidase activity	molecular function	327	259	234	298	168	225	26	448	286	72	46	20	240	175	451	469	447	283	168	215	227	36	211	435	437	312	103	333	426	521	529	577	505	484	691	342	114	185	618	636	271	265	197	113	645	240	276	265	751	465
GO:0004602	glutathione peroxidase activity	molecular function	198	155	158	159	108	153	6	322	159	24	15	8	86	45	289	315	327	158	97	118	72	6	69	275	318	196	14	236	260	317	301	318	266	250	448	231	14	30	397	440	137	138	117	14	452	109	142	59	499	265
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity	molecular function	20	19	18	24	14	19	0	37	15	1	0	0	10	4	39	42	31	20	10	17	5	0	7	31	27	20	0	32	27	32	30	36	26	31	39	18	0	3	35	39	17	12	11	0	36	11	15	10	42	25
GO:0004605	phosphatidate cytidylyltransferase activity	molecular function	3	1	0	1	2	1	4	2	1	0	4	0	11	8	2	3	2	2	1	0	6	1	5	0	1	6	3	0	1	1	5	1	0	2	4	4	10	7	2	0	0	1	1	5	2	3	3	9	2	4
GO:0004609	phosphatidylserine decarboxylase activity	molecular function	176	124	128	153	87	131	4	295	150	17	12	6	70	29	276	302	265	133	73	96	53	3	51	248	265	142	6	197	216	279	265	313	250	233	396	169	16	33	322	360	116	114	103	12	390	99	128	68	411	234
GO:0004611	phosphoenolpyruvate carboxykinase activity	molecular function	162	149	142	153	98	128	6	212	164	26	19	10	139	63	249	229	200	148	96	109	100	4	96	206	197	171	11	154	217	255	253	263	237	226	314	187	11	40	281	298	116	112	99	14	249	95	117	78	331	209
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	molecular function	124	114	108	123	78	93	5	165	134	21	16	10	98	42	205	181	166	113	85	87	75	4	65	163	156	133	6	131	173	210	211	214	191	178	256	148	3	24	231	241	99	99	89	7	210	81	99	62	279	166
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	molecular function	16	10	9	11	5	6	0	19	7	1	0	0	4	2	18	19	15	5	2	3	2	0	6	14	12	10	2	8	14	14	16	18	15	13	18	10	1	2	17	21	3	2	1	1	11	2	3	3	18	10
GO:0004614	phosphoglucomutase activity	molecular function	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
GO:0004615	phosphomannomutase activity	molecular function	15	20	10	9	7	12	11	45	14	4	4	3	14	16	32	16	17	28	11	18	13	5	14	55	25	38	5	24	16	28	18	21	17	11	38	15	6	6	35	38	12	10	9	5	37	10	13	17	43	34
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	molecular function	539	468	460	471	315	422	12	750	466	81	47	17	248	139	757	803	723	439	296	329	217	19	209	661	715	493	33	560	709	822	862	885	803	807	1106	672	31	110	930	1038	415	420	331	41	1040	332	410	232	1274	704
GO:0004617	phosphoglycerate dehydrogenase activity	molecular function	35	25	25	27	16	27	0	41	26	3	0	0	8	0	44	50	41	28	14	19	7	0	4	35	40	29	0	33	32	39	35	35	33	33	44	27	0	0	38	38	15	16	11	0	41	14	17	4	39	29
GO:0004618	phosphoglycerate kinase activity	molecular function	330	263	269	275	176	227	7	508	244	47	42	16	215	68	501	522	512	260	181	178	141	6	147	468	495	332	26	390	499	583	557	580	523	462	817	364	12	54	692	742	251	234	191	16	763	210	256	119	883	455
GO:0004619	phosphoglycerate mutase activity	molecular function	219	175	180	204	129	158	7	351	177	34	25	5	109	45	324	335	313	180	108	141	75	4	82	303	338	210	13	258	282	350	322	347	324	306	451	244	11	46	428	464	156	153	116	18	433	144	157	76	564	303
GO:0004620	phospholipase activity	molecular function	3	1	2	1	0	1	2	3	2	2	1	0	0	3	2	1	3	1	0	2	5	3	3	1	2	0	2	2	1	3	1	2	2	2	2	1	4	4	1	2	0	1	1	2	2	1	2	3	1	4
GO:0004621	glycosylphosphatidylinositol phospholipase D activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
GO:0004622	lysophospholipase activity	molecular function	0	0	0	1	0	0	1	0	0	0	1	0	0	2	1	1	0	1	1	1	2	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	0	1	1	1	1	4	1	2
GO:0004623	phospholipase A2 activity	molecular function	6	3	3	6	1	4	7	11	1	5	3	0	15	32	9	8	7	2	5	5	32	5	15	4	5	4	23	7	5	4	4	6	8	6	11	5	28	25	7	8	1	4	0	28	9	9	2	35	9	8
GO:0004629	phospholipase C activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004631	phosphomevalonate kinase activity	molecular function	4	2	3	2	0	3	1	8	2	0	1	0	3	2	8	4	3	6	0	3	5	1	3	6	4	4	2	3	4	3	6	5	5	2	9	4	3	3	5	5	3	1	0	2	6	1	1	3	5	4
GO:0004632	phosphopantothenate--cysteine ligase activity	molecular function	122	98	92	108	64	83	0	218	93	16	9	1	30	7	186	221	202	95	46	74	21	1	23	196	190	112	5	134	156	172	174	188	158	148	246	121	0	14	227	237	75	74	62	1	253	68	77	37	302	146
GO:0004633	phosphopantothenoylcysteine decarboxylase activity	molecular function	122	98	92	108	64	83	0	218	93	16	9	1	30	7	186	221	202	95	46	74	21	1	23	196	190	112	5	134	156	172	174	188	158	148	246	121	0	14	227	237	75	74	62	1	253	68	77	37	302	146
GO:0004634	phosphopyruvate hydratase activity	molecular function	224	185	163	213	114	181	3	370	190	30	19	5	90	42	344	393	349	191	90	132	71	8	71	285	343	191	14	244	323	369	376	395	338	332	517	268	2	35	429	482	145	154	131	9	485	131	174	77	559	296
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity	molecular function	163	129	123	145	90	130	0	272	132	13	10	2	58	24	246	290	245	125	73	90	48	3	42	221	232	146	6	199	211	246	234	266	205	220	348	175	0	20	302	340	111	105	92	6	345	93	112	41	395	205
GO:0004636	phosphoribosyl-ATP diphosphatase activity	molecular function	149	122	111	117	84	106	0	251	112	10	6	2	38	17	218	248	217	104	65	81	33	2	37	180	218	126	4	170	194	223	218	224	215	200	306	155	0	16	271	293	104	99	81	4	323	83	113	40	323	170
GO:0004637	phosphoribosylamine-glycine ligase activity	molecular function	351	264	269	283	180	244	5	569	283	41	35	10	144	52	523	542	561	270	154	185	78	4	103	528	562	326	18	441	460	591	519	562	491	465	819	347	0	44	702	752	221	217	169	5	792	191	245	88	879	427
GO:0004638	phosphoribosylaminoimidazole carboxylase activity	molecular function	35	29	38	37	21	28	0	67	36	2	3	0	4	2	61	78	63	33	14	16	8	0	4	56	64	39	1	43	44	45	44	52	39	39	67	28	0	3	69	58	18	16	15	0	69	21	24	7	73	35
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	molecular function	178	148	131	167	86	128	1	327	148	23	12	4	65	27	273	329	292	141	86	93	50	2	49	245	266	154	3	205	211	273	252	285	257	229	388	185	1	20	324	351	119	117	95	6	403	107	131	48	400	204
GO:0004640	phosphoribosylanthranilate isomerase activity	molecular function	174	148	140	150	93	140	0	324	140	22	16	7	77	24	276	329	296	134	82	110	44	5	55	261	304	171	9	242	238	298	284	308	264	236	420	211	2	17	393	390	131	116	101	5	461	109	140	52	511	231
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	molecular function	101	99	85	90	52	80	1	167	86	11	3	2	30	10	189	183	163	78	34	58	13	1	18	145	176	88	2	130	129	161	148	163	142	124	228	105	1	9	195	216	68	60	54	2	257	53	74	20	264	119
GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular function	146	118	123	127	67	102	0	269	121	8	3	1	27	7	224	284	263	119	51	82	17	0	23	212	229	115	2	179	160	212	182	211	188	164	272	139	1	12	245	268	77	82	70	2	306	71	99	16	311	153
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	molecular function	304	232	243	246	155	224	2	568	230	44	26	8	146	62	491	582	527	246	146	155	101	6	108	474	517	283	17	388	420	532	459	535	464	401	752	331	5	39	624	707	207	185	158	14	695	169	212	82	817	387
GO:0004644	phosphoribosylglycinamide formyltransferase activity	molecular function	113	90	82	99	52	77	0	210	92	7	2	1	26	8	199	210	183	84	49	69	18	3	17	176	221	108	3	149	140	161	152	158	147	131	233	120	0	6	237	247	58	58	44	0	280	52	61	27	292	148
GO:0004645	phosphorylase activity	molecular function	16	13	15	12	9	9	0	20	12	5	4	3	8	7	22	27	21	15	8	10	8	0	11	20	16	14	0	15	17	23	22	18	23	25	32	17	0	3	17	26	11	14	8	0	24	9	11	10	26	22
GO:0004647	phosphoserine phosphatase activity	molecular function	47	44	44	48	26	36	0	80	37	7	2	3	21	7	68	68	62	46	25	28	14	0	22	60	62	50	1	48	62	69	73	71	68	62	86	47	1	5	90	81	34	37	26	1	81	31	32	14	100	61
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	molecular function	51	35	38	45	18	40	0	75	40	1	0	0	7	4	66	83	76	37	18	20	5	0	4	61	65	43	0	54	43	61	54	56	52	52	75	35	0	5	66	62	21	20	18	0	72	23	20	7	87	39
GO:0004649	poly(ADP-ribose) glycohydrolase activity	molecular function	0	2	1	0	2	1	2	1	1	5	3	0	5	15	1	0	1	2	3	0	13	3	7	0	0	1	4	0	2	0	1	0	0	0	1	0	9	12	0	1	0	1	1	7	2	4	2	17	0	2
GO:0004650	polygalacturonase activity	molecular function	5	7	5	6	3	4	0	9	6	2	4	0	11	5	11	11	8	7	7	6	9	0	2	8	5	17	0	5	6	11	7	7	9	8	18	5	1	3	13	8	8	7	5	0	10	11	19	3	12	17
GO:0004651	polynucleotide 5'-phosphatase activity	molecular function	12	11	6	12	5	8	1	27	7	4	4	2	11	6	26	21	25	18	5	13	12	0	8	42	29	18	0	21	24	26	19	19	19	12	42	11	1	4	25	29	5	8	10	0	51	12	16	6	38	27
GO:0004652	polynucleotide adenylyltransferase activity	molecular function	31	26	26	28	15	22	5	56	30	4	6	3	21	17	54	51	52	26	10	18	19	3	19	47	51	42	11	33	36	42	44	41	40	35	55	34	9	16	46	48	17	18	16	8	44	17	19	25	57	32
GO:0004654	polyribonucleotide nucleotidyltransferase activity	molecular function	94	78	77	82	45	68	0	183	71	8	4	1	25	7	160	184	151	75	35	50	14	0	17	124	126	86	5	104	92	128	125	123	108	106	181	81	1	6	149	155	40	46	37	2	170	48	57	24	180	85
GO:0004655	porphobilinogen synthase activity	molecular function	242	201	224	221	142	194	6	412	213	34	28	8	140	59	382	405	390	224	109	145	96	5	104	359	400	254	16	312	322	414	392	397	369	368	568	271	8	50	496	521	170	168	143	15	563	163	190	90	636	319
GO:0004656	procollagen-proline 4-dioxygenase activity	molecular function	0	0	0	0	0	0	18	0	0	0	0	0	28	46	0	0	0	0	0	0	51	14	28	0	0	0	26	0	0	0	0	1	0	1	0	0	46	45	0	0	0	0	0	43	0	0	0	56	0	0
GO:0004659	prenyltransferase activity	molecular function	66	49	55	59	35	40	0	120	48	2	3	1	12	2	100	109	117	56	28	35	7	1	11	89	108	54	1	81	69	93	79	89	81	66	136	59	0	3	115	120	32	28	22	1	172	39	36	13	151	67
GO:0004663	Rab geranylgeranyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004664	prephenate dehydratase activity	molecular function	206	168	168	183	113	149	1	341	175	32	24	5	87	33	327	351	341	167	108	121	56	4	78	284	331	194	13	254	284	367	317	362	334	297	484	248	1	25	420	476	145	147	111	9	458	118	151	59	549	261
GO:0004665	prephenate dehydrogenase (NADP+) activity	molecular function	218	159	164	191	116	167	3	348	186	30	16	4	90	24	316	317	337	172	103	118	61	2	72	306	324	194	10	260	286	371	332	356	315	281	476	246	2	26	444	471	144	122	100	3	469	129	146	56	543	269
GO:0004668	protein-arginine deiminase activity	molecular function	69	59	55	58	38	66	0	105	54	14	8	2	34	13	94	107	93	59	32	51	22	2	33	83	86	60	7	66	96	124	97	126	103	106	134	87	0	12	131	147	45	43	36	5	129	49	48	22	166	101
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	molecular function	4	4	3	4	1	5	2	7	3	1	0	0	6	5	6	4	4	2	1	1	5	1	3	4	6	4	1	6	6	9	6	5	6	3	6	4	3	5	3	5	0	0	0	2	7	3	3	6	9	10
GO:0004672	protein kinase activity	molecular function	408	349	351	240	281	305	722	659	271	426	472	189	1970	1980	950	496	605	618	636	381	2309	394	1418	402	356	1064	873	329	433	530	567	487	504	370	1202	565	1690	1751	380	507	391	478	414	1167	599	934	1016	2369	817	1381
GO:0004673	protein histidine kinase activity	molecular function	27	23	23	23	12	20	0	35	22	11	2	3	16	8	42	41	32	24	8	16	14	2	10	40	34	21	1	27	42	44	38	30	31	40	39	23	1	7	37	32	16	17	10	1	36	11	13	16	51	33
GO:0004674	protein serine/threonine kinase activity	molecular function	22	21	16	19	14	10	33	24	13	8	15	0	82	96	41	22	31	19	23	13	105	27	65	21	19	36	40	16	26	31	28	34	26	21	58	26	81	90	22	26	10	14	23	68	22	24	28	98	35	41
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	molecular function	0	0	0	0	0	0	7	0	0	0	0	0	7	11	0	0	0	0	0	0	16	2	3	0	0	0	5	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	9	0	0	0	16	0	0
GO:0004677	DNA-dependent protein kinase activity	molecular function	1	0	1	0	1	0	3	1	0	2	3	2	4	7	2	0	1	0	1	0	7	1	1	0	0	0	2	0	1	0	1	0	0	1	2	2	4	5	1	0	1	0	2	3	0	2	1	8	2	2
GO:0004683	calmodulin-dependent protein kinase activity	molecular function	20	10	13	15	8	10	0	20	13	1	2	0	10	7	19	24	25	9	6	8	11	1	8	23	21	12	1	17	16	16	24	19	22	17	27	11	2	5	23	26	4	2	6	1	28	8	8	6	32	13
GO:0004689	phosphorylase kinase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	1	0	4	0	0
GO:0004692	cGMP-dependent protein kinase activity	molecular function	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	1	3	0	0
GO:0004702	signal transducer, downstream of receptor, with serine/threonine kinase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	0	0
GO:0004703	G-protein coupled receptor kinase activity	molecular function	0	0	0	0	0	0	3	0	0	0	0	0	5	5	0	0	0	0	0	0	6	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	3	0	0	0	9	0	0
GO:0004707	MAP kinase activity	molecular function	3	1	2	0	3	1	2	3	0	2	1	0	6	9	7	0	3	0	1	1	10	2	5	1	1	5	5	0	1	0	2	2	2	1	6	3	6	8	0	1	0	3	1	8	2	3	4	12	1	4
GO:0004713	protein tyrosine kinase activity	molecular function	0	0	0	0	0	0	2	0	0	0	0	0	2	6	0	1	1	0	0	0	8	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	5	0	0	0	6	0	0
GO:0004714	transmembrane receptor protein tyrosine kinase activity	molecular function	0	0	0	0	0	0	10	0	0	0	0	0	8	11	0	0	0	0	0	0	20	3	9	0	0	0	10	0	0	0	0	1	0	0	0	0	15	20	0	0	0	0	0	10	0	0	0	20	0	0
GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular function	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	2	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	2	3	0	1	1	1	0	4	0	0	1	3	0	0
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	molecular function	65	61	52	61	41	56	0	105	66	10	4	1	21	15	93	92	99	56	27	39	18	1	16	90	94	55	4	79	82	84	79	92	82	89	120	59	1	14	110	116	37	43	32	3	110	40	47	17	135	81
GO:0004721	phosphoprotein phosphatase activity	molecular function	4	1	2	2	3	1	5	8	3	0	3	0	19	15	8	5	4	3	2	2	16	9	14	3	4	4	11	4	7	6	4	3	6	5	7	6	16	23	5	3	2	3	1	15	8	2	5	29	6	6
GO:0004725	protein tyrosine phosphatase activity	molecular function	104	86	85	76	48	83	79	152	73	28	26	8	206	257	159	159	147	95	66	66	279	49	166	119	134	125	110	102	110	136	140	140	126	122	210	95	199	226	156	167	67	69	56	124	160	94	87	309	203	155
GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	molecular function	1	1	1	1	1	1	0	2	1	0	0	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	0	2	2	2	1	2	2	2	2	1	0	1	2	2	1	1	2	0	1	1	1	1	3	2
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	molecular function	19	16	10	12	8	12	0	24	12	5	7	3	7	7	29	22	22	14	8	10	7	1	6	19	20	10	1	12	21	17	17	22	21	19	26	12	0	7	18	24	10	9	8	0	14	7	7	9	27	22
GO:0004731	purine-nucleoside phosphorylase activity	molecular function	31	21	20	26	11	21	0	44	21	2	4	2	15	5	47	49	41	24	10	21	10	0	8	39	43	26	1	24	39	39	40	42	44	37	60	18	1	6	46	55	15	14	13	2	45	12	15	13	62	30
GO:0004733	pyridoxamine-phosphate oxidase activity	molecular function	105	93	86	100	56	81	0	197	89	11	14	2	32	10	170	192	170	87	43	63	23	1	22	155	190	97	4	139	138	157	173	197	160	143	237	105	1	12	212	227	58	61	61	4	234	61	76	25	260	128
GO:0004735	pyrroline-5-carboxylate reductase activity	molecular function	71	55	69	64	42	55	1	109	67	6	5	2	26	10	112	114	109	63	32	47	18	2	16	94	100	59	3	77	85	94	92	105	103	97	122	69	4	8	104	109	46	43	37	3	112	38	40	27	137	84
GO:0004736	pyruvate carboxylase activity	molecular function	8	7	6	6	3	6	0	12	7	1	0	0	1	0	13	14	14	8	2	3	0	0	1	12	11	7	0	9	5	10	8	7	5	7	14	5	0	0	9	12	3	1	3	0	11	2	1	3	11	5
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	molecular function	40	30	31	35	15	29	0	51	34	3	2	0	9	3	56	54	54	29	13	22	7	0	7	55	53	29	0	42	32	37	49	47	40	41	56	25	0	3	58	59	20	19	13	0	51	18	27	5	63	40
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	molecular function	14	11	14	11	6	11	0	24	9	0	0	0	0	0	22	25	24	13	5	7	1	1	1	18	19	17	1	18	11	17	15	15	13	15	17	11	1	1	17	17	5	6	5	1	25	7	6	3	22	8
GO:0004743	pyruvate kinase activity	molecular function	235	190	186	190	119	165	14	354	185	43	31	11	158	73	344	317	310	184	131	140	100	11	116	276	315	225	19	254	267	340	325	319	305	302	473	238	18	57	396	418	149	142	119	17	391	131	159	98	488	283
GO:0004747	ribokinase activity	molecular function	14	14	13	13	7	11	0	28	11	0	0	0	2	0	16	24	23	9	5	7	2	0	4	19	18	13	0	11	19	22	18	20	22	21	27	14	0	1	30	33	5	5	5	0	41	5	10	2	37	11
